episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_total_penalty,penalty_cpu_penalty,penalty_gpu_penalty,penalty_ram_penalty
0,13,0.0,11.959990501403809,5.9,75.7,11.948505401611328,3.827289581298828,7,1475.47265625,8192.0,18.011140823364258,0,0.0,0.0,0.0,0.0
0,14,0.0,12.268956422805786,3.9,75.7,11.947761535644531,3.828033447265625,8,1475.47265625,8192.0,18.011140823364258,1,0.0,0.0,0.0,0.0
0,15,-1.0,12.606276273727417,2.0,75.7,11.946388244628906,3.82940673828125,11,1479.91015625,8192.0,18.065309524536133,6,0.0,0.0,0.0,0.0
0,16,0.0,12.925943851470947,4.1,75.7,11.946090698242188,3.8297042846679688,9,1479.91015625,8192.0,18.065309524536133,2,0.0,0.0,0.0,0.0
0,17,-1.0,13.242753028869629,25.0,75.7,11.94784164428711,3.827953338623047,9,1479.91015625,8192.0,18.065309524536133,8,0.0,0.0,0.0,0.0
0,18,2.0,13.569395303726196,7.0,75.7,11.947372436523438,3.8284225463867188,9,1479.91015625,8192.0,18.065309524536133,8,0.0,0.0,0.0,0.0
1,19,-11.0,13.889548540115356,9.0,75.7,11.947402954101562,3.8283920288085938,9,1474.97265625,8192.0,18.005037307739258,3,0.0,0.0,0.0,0.0
1,20,0.0,14.201430797576904,15.8,75.7,11.94708251953125,3.828716278076172,12,1474.97265625,8192.0,18.005037307739258,6,0.0,0.0,0.0,0.0
1,21,-3.0,14.523850679397583,6.1,75.7,11.943214416503906,3.83258056640625,13,1474.97265625,8192.0,18.005037307739258,5,0.0,0.0,0.0,0.0
1,22,0.0,14.848632335662842,5.5,75.7,11.942405700683594,3.8333892822265625,10,1474.97265625,8192.0,18.005037307739258,1,0.0,0.0,0.0,0.0
1,23,-3.0,15.153850793838501,5.9,75.7,11.943260192871094,3.8325347900390625,11,1476.28515625,8192.0,18.021059036254883,3,0.0,0.0,0.0,0.0
1,24,-3.0,15.470760822296143,19.8,75.7,11.941421508789062,3.8343734741210938,11,1476.28515625,8192.0,18.021059036254883,5,0.0,0.0,0.0,0.0
1,25,0.0,15.7891263961792,4.8,75.7,11.94083023071289,3.8349647521972656,10,1476.28515625,8192.0,18.021059036254883,8,0.0,0.0,0.0,0.0
1,26,0.0,16.11800742149353,1.9,75.7,11.940879821777344,3.8349151611328125,11,1480.28515625,8192.0,18.069887161254883,2,0.0,0.0,0.0,0.0
1,27,-3.0,16.449495792388916,4.1,75.7,11.94134521484375,3.8344497680664062,9,1480.28515625,8192.0,18.069887161254883,4,0.0,0.0,0.0,0.0
1,28,0.0,16.779561519622803,14.5,75.7,11.94131088256836,3.834484100341797,9,1480.28515625,8192.0,18.069887161254883,1,0.0,0.0,0.0,0.0
1,29,-3.0,17.101519107818604,8.8,75.7,11.945098876953125,3.8306427001953125,10,1480.28515625,8192.0,18.069887161254883,3,0.0,0.0,0.0,0.0
1,30,0.0,17.424526929855347,9.2,75.7,11.943336486816406,3.83245849609375,9,1480.28515625,8192.0,18.069887161254883,0,0.0,0.0,0.0,0.0
1,31,-3.0,17.746477842330933,3.4,75.7,11.94329833984375,3.8324966430664062,9,1478.78515625,8192.0,18.051576614379883,4,0.0,0.0,0.0,0.0
1,32,-3.0,18.060351133346558,11.9,75.7,11.943099975585938,3.8326950073242188,9,1474.28515625,8192.0,17.996644973754883,5,0.0,0.0,0.0,0.0
1,33,0.0,18.38763117790222,4.9,75.7,11.94272232055664,3.8334274291992188,9,1474.28515625,8192.0,17.996644973754883,0,0.0,0.0,0.0,0.0
1,34,0.0,18.711862564086914,4.6,75.7,11.942180633544922,3.8336143493652344,9,1474.84765625,8192.0,18.003511428833008,5,0.0,0.0,0.0,0.0
1,35,0.0,19.026314973831177,14.6,75.7,11.941730499267578,3.834064483642578,9,1474.84765625,8192.0,18.003511428833008,7,0.0,0.0,0.0,0.0
1,36,0.0,19.35509729385376,6.2,75.7,11.944347381591797,3.8314476013183594,9,1474.84765625,8192.0,18.003511428833008,0,0.0,0.0,0.0,0.0
