episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_cpu_penalty,penalty_total_penalty,penalty_ram_penalty,penalty_gpu_penalty
1,14,-6.44,14.67582893371582,1.5,85.2,13.435665130615234,2.340129852294922,1,1378.796875,8192.0,16.831016540527344,2,0.0,1.4400000000000006,1.4400000000000006,0.0
1,15,-5.44,15.010573863983154,1.7,85.2,13.43429946899414,2.3414955139160156,0,1378.796875,8192.0,16.831016540527344,5,0.0,1.4400000000000006,1.4400000000000006,0.0
2,16,12.58,15.34902811050415,9.1,85.1,13.431564331054688,2.3446044921875,0,1378.796875,8192.0,16.831016540527344,5,0.0,1.419999999999999,1.419999999999999,0.0
2,17,-1.42,15.683977365493774,3.8,85.1,13.432537078857422,2.3432579040527344,0,1371.484375,8192.0,16.74175262451172,0,0.0,1.419999999999999,1.419999999999999,0.0
2,18,-1.42,16.023919343948364,9.2,85.1,13.431171417236328,2.344623565673828,1,1371.484375,8192.0,16.74175262451172,2,0.0,1.419999999999999,1.419999999999999,0.0
2,19,-1.42,16.355120420455933,16.1,85.2,13.43160629272461,2.3447418212890625,1,1371.484375,8192.0,16.74175262451172,1,0.0,1.419999999999999,1.419999999999999,0.0
2,20,-1.42,16.681130409240723,2.8,85.1,13.431346893310547,2.3444290161132812,1,1371.484375,8192.0,16.74175262451172,0,0.0,1.419999999999999,1.419999999999999,0.0
2,21,-1.42,17.01746654510498,2.7,85.1,13.425090789794922,2.3507041931152344,0,1371.484375,8192.0,16.74175262451172,1,0.0,1.419999999999999,1.419999999999999,0.0
2,22,0.58,17.360865354537964,1.9,85.1,13.424400329589844,2.3513946533203125,0,1371.484375,8192.0,16.74175262451172,2,0.0,1.419999999999999,1.419999999999999,0.0
2,23,-4.42,17.690478563308716,4.3,85.1,13.424617767333984,2.351177215576172,0,1371.484375,8192.0,16.74175262451172,3,0.0,1.419999999999999,1.419999999999999,0.0
2,24,-1.42,18.02064561843872,2.6,85.1,13.421955108642578,2.353839874267578,0,1371.484375,8192.0,16.74175262451172,0,0.0,1.419999999999999,1.419999999999999,0.0
2,25,-7.4,18.347309827804565,7.1,85.0,13.40625,2.369548797607422,1,1371.484375,8192.0,16.74175262451172,4,0.0,1.4000000000000001,1.4000000000000001,0.0
2,26,4.6,18.679121732711792,1.8,85.0,13.409595489501953,2.366199493408203,1,1371.484375,8192.0,16.74175262451172,5,0.0,1.4000000000000001,1.4000000000000001,0.0
3,27,-1.4,19.010838508605957,11.3,85.0,13.41439437866211,2.361400604248047,1,1378.359375,8192.0,16.82567596435547,2,0.0,1.4000000000000001,1.4000000000000001,0.0
3,28,-1.4,19.338257789611816,10.5,85.0,13.41647720336914,2.3593177795410156,1,1378.359375,8192.0,16.82567596435547,2,0.0,1.4000000000000001,1.4000000000000001,0.0
3,29,-9.42,19.668017148971558,12.5,85.1,13.418048858642578,2.357746124267578,1,1382.359375,8192.0,16.87450408935547,3,0.0,1.419999999999999,1.419999999999999,0.0
3,30,-1.42,19.99533772468567,4.5,85.0,13.41677474975586,2.359020233154297,0,1382.359375,8192.0,16.87450408935547,2,0.0,1.419999999999999,1.419999999999999,0.0
3,31,-1.4,20.32407808303833,14.3,85.0,13.411849975585938,2.3639450073242188,1,1382.359375,8192.0,16.87450408935547,0,0.0,1.4000000000000001,1.4000000000000001,0.0
3,32,-1.4,20.650375604629517,6.4,85.0,13.412254333496094,2.3635406494140625,1,1382.359375,8192.0,16.87450408935547,2,0.0,1.4000000000000001,1.4000000000000001,0.0
3,33,-1.4,20.977940797805786,7.0,85.0,13.412338256835938,2.3634567260742188,1,1382.359375,8192.0,16.87450408935547,1,0.0,1.4000000000000001,1.4000000000000001,0.0
