episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
1845,18027,0.0,6065.602345943451,0.0,49.5,7.804420471191406,7.97137451171875,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1845,18028,-5.0,6065.948285579681,0.0,49.5,7.804176330566406,7.97161865234375,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1845,18029,5.0,6066.279997825623,1.7,49.5,7.804172515869141,7.971622467041016,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1845,18030,0.0,6066.610549926758,0.7,49.5,7.804050445556641,7.971744537353516,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1845,18031,0.0,6066.957583189011,0.0,49.5,7.803714752197266,7.972080230712891,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18032,9.0,6067.290312290192,0.0,49.5,7.803699493408203,7.972095489501953,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18033,0.0,6067.622070789337,0.0,49.5,7.803592681884766,7.972202301025391,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18034,0.0,6067.949755191803,0.0,49.5,7.803295135498047,7.972499847412109,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18035,0.0,6068.276780605316,4.9,49.5,7.804985046386719,7.9708099365234375,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18036,0.0,6068.6070330142975,0.0,49.5,7.804897308349609,7.970897674560547,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18037,0.0,6068.954759836197,0.0,49.5,7.804634094238281,7.971160888671875,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18038,0.0,6069.295392990112,0.0,49.5,7.804485321044922,7.971309661865234,0,815.23828125,8192.0,9.951639175415039,0,0.0,0.0,0.0,0.0
1846,18039,0.0,6069.630049228668,2.7,49.5,7.804378509521484,7.971416473388672,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18040,0.0,6069.975770235062,0.0,49.5,7.804065704345703,7.971729278564453,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18041,0.0,6070.306994438171,0.0,49.5,7.803993225097656,7.9718017578125,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18042,0.0,6070.651800870895,0.0,49.5,7.803905487060547,7.971889495849609,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18043,0.0,6070.981062173843,0.0,49.5,7.803714752197266,7.972080230712891,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18044,0.0,6071.311177492142,0.0,49.5,7.803638458251953,7.972156524658203,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18045,-3.0,6071.640360832214,3.7,49.5,7.805274963378906,7.97052001953125,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18046,0.0,6071.9712743759155,0.0,49.5,7.805027008056641,7.970767974853516,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18047,0.0,6072.31751537323,2.0,49.5,7.8049468994140625,7.970848083496094,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1846,18048,0.0,6072.742103338242,0.0,49.5,7.804622650146484,7.971172332763672,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
