episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,content_iteration,content_meta_loss,action
0,22,-6434.2431640625,1318.3758335113525,0.0,53.0,8.366615295410156,7.4091796875,0,1076.125,8192.0,13.13629150390625,23,6434.2431640625,-1
0,23,-2840.5673828125,1375.79092669487,0.0,52.9,8.337898254394531,7.437896728515625,0,1076.125,8192.0,13.13629150390625,24,2840.5673828125,-1
0,24,-8980.1953125,1433.461400270462,9.0,52.8,8.333805084228516,7.441989898681641,2,1076.125,8192.0,13.13629150390625,25,8980.1953125,-1
0,25,-1363.5072021484375,1490.4953944683075,0.0,53.0,8.35971450805664,7.416080474853516,2,1076.125,8192.0,13.13629150390625,26,1363.5072021484375,-1
0,26,-477.0093688964844,1547.671611070633,2.4,52.8,8.322441101074219,7.4533538818359375,0,1076.125,8192.0,13.13629150390625,27,477.0093688964844,-1
0,27,-12698.77734375,1604.9000244140625,10.2,53.8,8.484455108642578,7.291339874267578,0,1076.125,8192.0,13.13629150390625,28,12698.77734375,-1
0,28,-175.09976196289062,1662.4491415023804,0.7,52.5,8.28390884399414,7.491886138916016,0,1076.125,8192.0,13.13629150390625,29,175.09976196289062,-1
0,29,-4419.93017578125,1719.9331398010254,10.4,53.2,8.400394439697266,7.375400543212891,0,1076.125,8192.0,13.13629150390625,30,4419.93017578125,-1
0,30,-8.15429401397705,1777.417121887207,11.1,52.7,8.306480407714844,7.4693145751953125,0,1076.125,8192.0,13.13629150390625,31,8.15429401397705,-1
0,31,-53.02330017089844,1834.9451174736023,14.5,52.6,8.290611267089844,7.4851837158203125,0,1080.8125,8192.0,13.193511962890625,32,53.02330017089844,-1
0,32,-24348.314453125,1892.515174627304,12.6,53.4,8.426509857177734,7.349285125732422,0,1076.125,8192.0,13.13629150390625,33,24348.314453125,-1
0,33,-4342.19775390625,1950.028662443161,6.0,52.3,8.257499694824219,7.5182952880859375,0,1076.125,8192.0,13.13629150390625,34,4342.19775390625,-1
0,34,-25425.2421875,2007.339700460434,0.0,52.4,8.26425552368164,7.511539459228516,0,1076.125,8192.0,13.13629150390625,35,25425.2421875,-1
0,35,-3508.44482421875,2064.8958847522736,0.0,52.1,8.221569061279297,7.554225921630859,0,1076.125,8192.0,13.13629150390625,36,3508.44482421875,-1
0,36,-10.26067066192627,2122.225971698761,0.0,52.1,8.224674224853516,7.551120758056641,0,1076.125,8192.0,13.13629150390625,37,10.26067066192627,-1
0,37,-2241.94970703125,2179.5768122673035,0.0,52.1,8.224597930908203,7.551197052001953,0,1076.125,8192.0,13.13629150390625,38,2241.94970703125,-1
0,38,-11847.4365234375,2236.5858161449432,0.8,52.1,8.2236328125,7.552162170410156,0,1076.125,8192.0,13.13629150390625,39,11847.4365234375,-1
