episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_total_penalty,penalty_cpu_penalty
1,10,-1.22,9.410285234451294,30.3,84.2,13.279979705810547,2.4958229064941406,2,1105.30078125,8192.0,13.492441177368164,0,1.2199999999999989,0.0,1.2199999999999989,0.0
1,11,0.72,9.735167980194092,32.2,84.6,13.349903106689453,2.425811767578125,1,1105.55078125,8192.0,13.495492935180664,5,1.2800000000000011,0.0,1.2800000000000011,0.0
1,12,-1.52,10.060865879058838,46.0,85.3,13.462200164794922,2.3136024475097656,1,1110.17578125,8192.0,13.551950454711914,0,1.519999999999999,0.0,1.519999999999999,0.0
1,13,-3.5,10.387388944625854,25.5,85.7,13.512386322021484,2.263477325439453,1,1110.23828125,8192.0,13.552713394165039,5,1.5,0.0,1.5,0.0
1,14,-1.56,10.710846185684204,17.7,85.8,13.539161682128906,2.2366409301757812,0,1110.11328125,8192.0,13.551187515258789,0,1.5599999999999996,0.0,1.5599999999999996,0.0
1,15,-4.6,11.034301996231079,12.6,86.3,13.621212005615234,2.154590606689453,0,1108.52734375,8192.0,13.531827926635742,1,1.6,0.0,1.6,0.0
1,16,-1.6,11.360305547714233,16.9,86.0,13.57010269165039,2.205699920654297,0,1105.83984375,8192.0,13.499021530151367,4,1.6,0.0,1.6,0.0
2,17,-1.64,11.700514316558838,26.8,86.4,13.634140014648438,2.1416397094726562,0,1103.52734375,8192.0,13.470792770385742,1,1.6400000000000006,0.0,1.6400000000000006,0.0
2,18,3.32,12.026756048202515,26.7,86.4,13.628063201904297,2.147724151611328,0,1103.52734375,8192.0,13.470792770385742,5,1.6800000000000013,0.0,1.6800000000000013,0.0
2,19,-4.68,12.34909439086914,18.2,86.5,13.64316177368164,2.132640838623047,0,1104.46484375,8192.0,13.482236862182617,3,1.6800000000000013,0.0,1.6800000000000013,0.0
2,20,-4.76,12.673891305923462,47.4,86.9,13.704299926757812,2.071502685546875,0,1110.11328125,8192.0,13.551187515258789,3,1.7599999999999996,0.0,1.7599999999999996,0.0
2,21,-1.8,12.997800350189209,27.9,86.9,13.703262329101562,2.072540283203125,1,1110.11328125,8192.0,13.551187515258789,1,1.8,0.0,1.8,0.0
2,22,-1.8,13.325023174285889,21.0,87.0,13.719844818115234,2.055957794189453,1,1108.17578125,8192.0,13.527536392211914,0,1.8,0.0,1.8,0.0
2,23,-1.82,13.655219793319702,31.6,87.0,13.723773956298828,2.0520286560058594,1,1103.36328125,8192.0,13.468790054321289,2,1.819999999999999,0.0,1.819999999999999,0.0
2,24,-2.76,13.981389999389648,21.1,86.8,13.701522827148438,2.074138641357422,1,1103.36328125,8192.0,13.468790054321289,3,1.7599999999999996,0.0,1.7599999999999996,0.0
2,25,-3.82,14.311767339706421,36.2,86.5,13.649467468261719,2.12628173828125,1,1102.17578125,8192.0,13.454294204711914,4,1.819999999999999,0.0,1.819999999999999,0.0
3,26,1.3,14.638656616210938,38.9,86.5,13.646663665771484,2.129077911376953,0,1100.73828125,8192.0,13.436746597290039,2,1.7000000000000002,0.0,1.7000000000000002,0.0
3,27,-1.68,14.966045618057251,67.4,86.3,13.608638763427734,2.1672439575195312,0,1098.42578125,8192.0,13.408517837524414,3,1.6800000000000013,0.0,1.6800000000000013,0.0
3,28,-1.68,15.289607524871826,13.5,86.1,13.588386535644531,2.1874160766601562,2,1127.24609375,8192.0,13.76032829284668,0,1.6800000000000013,0.0,1.6800000000000013,0.0
3,29,-3.62,15.617690324783325,1.9,86.1,13.584850311279297,2.1909523010253906,0,1127.24609375,8192.0,13.76032829284668,5,1.619999999999999,0.0,1.619999999999999,0.0
3,30,0.38,15.941109895706177,7.2,86.1,13.576980590820312,2.198822021484375,0,1127.24609375,8192.0,13.76032829284668,4,1.619999999999999,0.0,1.619999999999999,0.0
3,31,-8.56,16.26899766921997,5.3,85.8,13.536125183105469,2.2396774291992188,3,1127.24609375,8192.0,13.76032829284668,2,1.5599999999999996,0.0,1.5599999999999996,0.0
3,32,-1.56,16.592722177505493,5.9,85.9,13.544635772705078,2.231170654296875,1,1127.24609375,8192.0,13.76032829284668,1,1.5599999999999996,0.0,1.5599999999999996,0.0
4,33,-6.6,16.913992643356323,9.1,85.9,13.557674407958984,2.218128204345703,1,1127.08984375,8192.0,13.758420944213867,5,1.6,0.0,1.6,0.0
